point;Temps(s);Tension_moteur(V);Vitesse_chariot(mm/s)
1;0.020000;0.000572;-2.284636
2;0.040000;0.000572;-2.284636
3;0.060000;0.000572;0.000000
4;0.080000;0.011572;0.000000
5;0.100000;0.000572;2.284636
6;0.120000;0.000572;2.284636
7;0.140000;0.011572;-2.284636
8;0.160000;0.000572;-2.284636
9;0.180000;0.011572;0.000000
10;0.200000;0.000572;2.284636
11;0.220000;0.000572;2.284636
12;0.240000;0.000572;-2.284636
13;0.260000;0.000572;-2.284636
14;0.280000;0.000572;2.284636
15;0.300000;0.011572;0.000000
16;0.320000;0.011572;0.000000
17;0.340000;0.011572;0.000000
18;0.360000;-0.637428;-2.284636
19;0.380000;6.292572;2.908772
20;0.400000;-0.549428;-59.400534
21;0.420000;-1.143428;-0.624136
22;0.440000;8.976572;81.324393
23;0.460000;10.296572;27.486267
24;0.480000;3.344572;-24.208495
25;0.500000;0.363572;27.344995
26;0.520000;7.788572;90.647437
27;0.540000;14.091572;55.270898
28;0.560000;4.840572;0.738000
29;0.580000;3.168572;36.114539
30;0.600000;7.678572;100.154980
31;0.620000;15.048572;64.040442
32;0.640000;5.577572;18.646087
33;0.660000;5.632572;43.337446
34;0.680000;6.237572;91.016437
35;0.700000;14.465572;62.309306
36;0.720000;6.864572;32.353903
37;0.740000;6.666572;45.068582
38;0.760000;5.808572;88.731801
39;0.780000;17.028572;80.217393
40;0.800000;6.534572;13.892315
41;0.820000;6.534572;36.299039
42;0.840000;4.950572;102.808616
43;0.860000;16.478572;75.648121
44;0.880000;7.601572;29.700267
45;0.900000;6.391572;47.722218
46;0.920000;2.893572;86.816165
47;0.940000;17.325572;80.586393
48;0.960000;7.150572;38.838811
49;0.980000;6.336572;45.068582
50;1.000000;3.003572;91.385437
51;1.020000;18.755572;71.078849
52;1.040000;7.403572;34.269539
53;1.060000;7.733572;52.291490
54;1.080000;2.332572;79.962257
55;1.100000;16.731572;80.217393
56;1.120000;7.381572;41.123446
57;1.140000;7.524572;43.152946
58;1.160000;2.673572;82.246893
59;1.180000;18.689572;80.217393
60;1.200000;7.238572;38.654311
61;1.220000;7.293572;27.160495
62;1.240000;2.299572;87.185165
63;1.260000;18.062572;92.009572
64;1.280000;6.787572;42.854582
65;1.300000;6.820572;38.214675
66;1.320000;0.253572;69.092577
67;1.340000;16.720572;78.486257
68;1.360000;6.446572;54.277762
69;1.380000;6.666572;31.176267
70;1.400000;1.342572;71.377213
71;1.420000;17.325572;78.117257
72;1.440000;7.777572;47.423854
73;1.460000;7.744572;45.253082
74;1.480000;-0.604428;66.807941
75;1.500000;16.687572;80.586393
76;1.520000;9.372572;45.139218
77;1.540000;7.480572;42.783946
78;1.560000;1.166572;73.661849
79;1.580000;17.820572;69.532213
80;1.600000;9.394572;47.239354
81;1.620000;6.820572;35.561039
82;1.640000;2.849572;64.707806
83;1.660000;17.039572;83.240029
84;1.680000;10.769572;53.908762
85;1.700000;6.985572;33.276403
86;1.720000;2.310572;62.607670
87;1.740000;13.079572;83.424529
88;1.760000;10.450572;53.539762
89;1.780000;6.446572;37.661175
90;1.800000;2.398572;67.545941
91;1.820000;14.113572;85.709165
92;1.840000;10.274572;60.209170
93;1.860000;6.688572;37.661175
94;1.880000;3.113572;58.591898
95;1.900000;11.616572;81.324393
96;1.920000;11.605572;58.109034
97;1.940000;7.304572;42.045946
98;1.960000;3.575572;60.692034
99;1.980000;10.989572;81.693393
100;2.000000;12.903572;62.309306
101;2.020000;6.314572;39.392311
102;2.040000;4.774572;56.491762
