Temps;Consigne;Position;Tension
0;100;0;0.01794
0.001;100;0;3.823
0.002;100;0.008629;10.44
0.003;100;0.03753;17.15
0.004;100;0.07663;23.89
0.005;100;0.14;30.57
0.006;100;0.2383;36.38
0.007;100;0.3813;39.22
0.008;100;0.5701;39.27
0.009;100;0.8027;39.26
0.01;100;1.08;39.29
0.011;100;1.398;39.34
0.012;100;1.75;39.33
0.013;100;2.138;39.4
0.014;100;2.562;39.49
0.015;100;3.012;39.47
0.016;100;3.485;39.51
0.017;100;3.995;39.53
0.018;100;4.49;39.55
0.019;100;5.069;39.55
0.02;100;5.66;39.55
0.021;100;6.264;39.61
0.022;100;6.89;39.68
0.023;100;7.527;39.64
0.024;100;8.188;39.65
0.025;100;8.859;39.68
0.026;100;9.559;39.63
0.027;100;10.27;39.69
0.028;100;10.98;39.71
0.029;100;11.73;39.69
0.03;100;12.49;39.68
0.031;100;13.25;39.69
0.032;100;14.02;39.72
0.033;100;14.8;39.76
0.034;100;15.58;39.79
0.035;100;16.38;39.79
0.036;100;17.2;39.78
0.037;100;18.02;39.8
0.038;100;18.85;39.84
0.039;100;19.69;39.85
0.04;100;20.53;39.83
0.041;100;21.4;39.81
0.042;100;22.26;39.81
0.043;100;23.12;39.82
0.044;100;24;39.82
0.045;100;24.88;39.84
0.046;100;25.77;39.86
0.047;100;26.66;39.86
0.048;100;27.56;39.84
0.049;100;28.46;39.83
0.05;100;29.36;39.86
0.051;100;30.27;39.86
0.052;100;31.2;39.79
0.053;100;32.13;39.79
0.054;100;33.06;39.79
0.055;100;33.99;39.8
0.056;100;34.91;39.81
0.057;100;35.86;39.82
0.058;100;36.82;39.83
0.059;100;37.76;39.81
0.06;100;38.7;39.8
0.061;100;39.63;39.83
0.062;100;40.58;39.82
0.063;100;41.55;39.78
0.064;100;42.52;39.79
0.065;100;43.48;39.83
0.066;100;44.44;39.89
0.067;100;45.4;39.89
0.068;100;46.35;39.89
0.069;100;47.35;39.89
0.07;100;48.31;39.89
0.071;100;49.29;39.89
0.072;100;50.26;39.88
0.073;100;51.24;39.9
0.074;100;52.22;39.92
0.075;100;53.21;39.9
0.076;100;54.19;39.88
0.077;100;55.16;39.88
0.078;100;56.13;39.91
0.079;100;57.12;39.9
0.08;100;58.11;39.89
0.081;100;59.09;39.88
0.082;100;60.07;39.89
0.083;100;61.06;39.91
0.084;100;62.07;39.91
0.085;100;63.03;39.91
0.086;100;64.02;39.9
0.087;100;65.01;39.91
0.088;100;66.01;39.94
0.089;100;67.01;39.92
0.09;100;68.01;39.91
0.091;100;68.98;39.91
0.092;100;69.97;39.91
0.093;100;70.96;39.93
0.094;100;71.96;39.91
0.095;100;72.96;39.89
0.096;100;73.93;39.9
0.097;100;74.92;39.91
0.098;100;75.92;39.94
0.099;100;76.92;39.92
0.1;100;77.92;39.88
0.101;100;78.89;39.91
0.102;100;79.88;39.92
0.103;100;80.89;39.93
0.104;100;81.91;38.14
0.105;100;82.91;36.4
0.106;100;83.9;34.18
0.107;100;84.9;32.34
0.108;100;85.88;30.34
0.109;100;86.87;28.34
0.11;100;87.81;26.5
0.111;100;88.75;24.56
0.112;100;89.67;23.05
0.113;100;90.58;21.42
0.114;100;91.44;19.45
0.115;100;92.3;17.83
0.116;100;93.13;16.14
0.117;100;93.93;14.44
0.118;100;94.7;12.99
0.119;100;95.44;11.33
0.12;100;96.15;10.05
0.121;100;96.85;8.418
0.122;100;97.49;7.113
0.123;100;98.1;5.988
0.124;100;98.67;4.5
0.125;100;99.21;3.391
0.126;100;99.72;2.594
0.127;100;100.2;1.33
0.128;100;100.6;0.2639
0.129;100;101;-0.7629
0.13;100;101.4;-2.045
0.131;100;101.8;-2.629
0.132;100;102.1;-2.799
0.133;100;102.3;-3.638
0.134;100;102.6;-4.221
0.135;100;102.8;-4.93
0.136;100;103;-5.322
0.137;100;103.2;-5.671
0.138;100;103.3;-5.804
0.139;100;103.4;-5.988
0.14;100;103.5;-6.393
0.141;100;103.5;-6.561
0.142;100;103.6;-6.68
0.143;100;103.6;-6.791
0.144;100;103.6;-6.802
0.145;100;103.6;-6.827
0.146;100;103.5;-6.81
0.147;100;103.5;-6.733
0.148;100;103.4;-6.648
0.149;100;103.3;-6.602
0.15;100;103.3;-6.424
0.151;100;103.2;-6.301
0.152;100;103.1;-6.202
0.153;100;103;-6.062
0.154;100;102.9;-5.897
0.155;100;102.8;-5.769
0.156;100;102.7;-5.635
0.157;100;102.6;-5.466
0.158;100;102.5;-5.317
0.159;100;102.4;-5.078
0.16;100;102.3;-4.838
0.161;100;102.2;-4.613
0.162;100;102.1;-4.346
0.163;100;102;-4.15
0.164;100;101.9;-3.966
0.165;100;101.9;-3.75
0.166;100;101.8;-3.595
0.167;100;101.7;-3.466
0.168;100;101.6;-3.346
0.169;100;101.5;-3.119
0.17;100;101.5;-3.054
0.171;100;101.4;-2.942
0.172;100;101.3;-2.865
0.173;100;101.3;-2.846
0.174;100;101.2;-2.821
0.175;100;101.1;-2.784
0.176;100;101.1;-2.764
0.177;100;101.1;-2.731
0.178;100;101;-2.678
0.179;100;101;-2.671
0.18;100;100.9;-2.555
0.181;100;100.9;-2.469
0.182;100;100.9;-2.37
0.183;100;100.9;-2.294
0.184;100;100.9;-2.234
0.185;100;100.8;-2.161
0.186;100;100.8;-2.087
0.187;100;100.8;-2.066
0.188;100;100.8;-2.019
0.189;100;100.8;-2.034
0.19;100;100.8;-2.036
0.191;100;100.8;-2.033
0.192;100;100.8;-2.047
0.193;100;100.8;-2.052
0.194;100;100.8;-2.046
0.195;100;100.8;-2.051
0.196;100;100.8;-2.049
0.197;100;100.8;-2.051
0.198;100;100.8;-2.054
0.199;100;100.8;-2.052
0.2;100;100.8;-2.052
0.201;100;100.8;-2.054
0.202;100;100.8;-2.049
0.203;100;100.8;-2.044
0.204;100;100.8;-2.052
0.205;100;100.8;-2.052
0.206;100;100.8;-2.047
0.207;100;100.8;-2.044
0.208;100;100.8;-2.049
0.209;100;100.8;-2.055
0.21;100;100.8;-2.051
0.211;100;100.8;-2.048
0.212;100;100.8;-2.05
0.213;100;100.8;-2.048
0.214;100;100.8;-2.05
0.215;100;100.8;-2.05
0.216;100;100.8;-2.047
0.217;100;100.8;-2.047
0.218;100;100.8;-2.046
0.219;100;100.8;-2.047
0.22;100;100.8;-2.049
0.221;100;100.8;-2.053
0.222;100;100.8;-2.05
0.223;100;100.8;-2.046
0.224;100;100.8;-2.046
0.225;100;100.8;-2.048
0.226;100;100.8;-2.051
0.227;100;100.8;-2.053
0.228;100;100.8;-2.053
0.229;100;100.8;-2.052
0.23;100;100.8;-2.054
0.231;100;100.8;-2.044
0.232;100;100.8;-2.047
0.233;100;100.8;-2.052
0.234;100;100.8;-2.054
0.235;100;100.8;-2.052
0.236;100;100.8;-2.048
0.237;100;100.8;-2.048
0.238;100;100.8;-2.044
0.239;100;100.8;-2.045
0.24;100;100.8;-2.048
0.241;100;100.8;-2.045
0.242;100;100.8;-2.048
0.243;100;100.8;-2.047
0.244;100;100.8;-2.055
0.245;100;100.8;-2.055
0.246;100;100.8;-2.051
0.247;100;100.8;-2.051
0.248;100;100.8;-2.051
0.249;100;100.8;-2.045
0.25;100;100.8;-2.054
0.251;100;100.8;-2.054
0.252;100;100.8;-2.045
0.253;100;100.8;-2.052
0.254;100;100.8;-2.051
0.255;100;100.8;-2.054
0.256;100;100.8;-2.054
0.257;100;100.8;-2.053
0.258;100;100.8;-2.054
0.259;100;100.8;-2.05
0.26;100;100.8;-2.05
0.261;100;100.8;-2.049
0.262;100;100.8;-2.049
0.263;100;100.8;-2.056
0.264;100;100.8;-2.052
0.265;100;100.8;-2.047
0.266;100;100.8;-2.045
0.267;100;100.8;-2.047
0.268;100;100.8;-2.054
0.269;100;100.8;-2.056
0.27;100;100.8;-2.051
