Temps(s);Vitesse chariot(mm/s);Tension moteur(V)
0;7.407408;-0.044572
0.02;20.192723;-0.594572
0.04;13.892315;1.605428
0.0600000000000001;16.290815;15.432428
0.0799999999999996;36.185175;5.532428
0.1;41.194082;2.276428
0.12;38.214675;12.968428
0.14;64.338806;15.454428
0.16;68.978713;7.886428
0.18;66.069941;12.748428
0.2;73.846349;16.741428
0.22;78.415621;17.940428
0.24;92.932072;13.232428
0.26;90.278437;15.905428
0.28;81.253757;17.093428
0.3;91.754437;16.114428
0.32;96.947844;14.585428
0.34;88.916301;12.759428
0.36;89.838801;16.224428
0.38;110.031524;18.699428
0.4;104.539752;15.245428
0.42;90.831937;13.782428
0.44;94.408072;18.534428
0.46;94.223572;18.061428
0.48;111.02466;15.223428
0.5;97.685844;14.057428
0.52;85.269529;17.610428
0.54;105.277752;17.654428
0.56;109.109024;17.654428
0.58;100.15498;14.409428
0.6;93.854572;17.368428
0.62;101.26198;18.600428
0.64;116.147432;16.081428
0.66;104.355252;14.959428
0.68;83.169393;17.588428
0.7;103.362116;17.511428
0.72;118.063068;17.148428
0.74;99.97048;14.343428
0.76;96.508208;17.049428
0.78;101.07748;18.930428
0.8;104.724252;16.829428
0.82;115.962932;14.200428
0.84;91.754437;18.666428
0.86;89.838801;18.369428
0.88;120.347703;16.158428
0.9;97.501344;13.397428
0.92;85.269529;17.731428
0.94;110.031524;16.994428
0.96;109.293524;17.280428
0.98;97.870344;13.331428
1;93.670072;16.752428
1.02;98.977344;18.622428
1.04;125.470475;17.643428
1.06;115.778432;14.398428
1.08;75.946485;18.083428
1.1;94.408072;17.709428
1.12;125.101475;17.423428
1.14;102.070616;13.386428
1.16;87.185165;17.082428
1.18;103.177616;18.226428
1.2;105.093252;18.820428
1.22;116.147432;12.979428
1.24;98.054844;18.347428
1.26;94.592572;18.347428
1.28;127.939611;16.631428
1.3;104.170752;13.298428
1.32;89.469801;17.302428
1.34;103.362116;17.082428
1.36;125.285975;19.623428
1.38;111.39366;11.780428
1.4;89.100801;16.895428
1.42;101.26198;18.798428
1.44;109.847024;17.852428
1.46;122.632339;13.353428
1.48;93.854572;18.424428
1.5;82.984893;17.863428
1.52;102.070616;17.005428
1.54;97.316844;15.894428
